ATADS : Airport Operations : Standard Report,,,,,,,,,,
,,,,,,,,,,
"From 1/1/2019 To 2/28/2022 | Facility=SEA, PAE, MWH",,,,,,,,,,
2019-06-02,SEA,1193,2,14,0,1209,0,0,0,1209
2019-06-03,MWH,10,91,18,21,140,251,14,265,405
2019-06-03,PAE,52,6,189,2,249,215,0,215,464
2019-06-03,SEA,1269,20,11,0,1300,0,0,0,1300
2019-06-04,MWH,41,67,20,10,138,167,12,179,317
2019-06-04,PAE,41,3,205,0,249,361,0,361,610
2019-06-04,SEA,1263,17,3,0,1283,0,0,0,1283
2019-06-05,MWH,8,128,29,11,176,297,38,335,511
2019-06-05,PAE,47,4,185,9,245,107,0,107,352
2019-06-05,SEA,1246,13,5,0,1264,0,0,0,1264
2019-06-06,MWH,26,135,26,22,209,165,72,237,446
2019-06-06,PAE,43,2,137,0,182,216,0,216,398
2019-06-06,SEA,1305,17,4,0,1326,0,0,0,1326
2019-06-07,MWH,17,7,22,1,47,10,0,10,57
2019-06-07,PAE,49,4,78,0,131,21,0,21,152
2019-06-07,SEA,1319,13,5,0,1337,0,0,0,1337
2019-06-08,MWH,12,1,20,0,33,8,0,8,41
2019-06-08,PAE,47,4,242,0,293,347,0,347,640
2019-06-08,SEA,1239,4,10,0,1253,0,0,0,1253
2019-06-09,MWH,0,0,22,1,23,2,0,2,25
2019-06-09,PAE,41,0,279,0,320,232,0,232,552
2019-06-09,SEA,1297,8,12,0,1317,0,0,0,1317
2019-06-10,MWH,16,122,30,23,191,227,21,248,439
2019-06-10,PAE,50,3,211,0,264,193,0,193,457
2019-06-10,SEA,1338,19,14,0,1371,0,0,0,1371
2019-06-11,MWH,19,46,54,23,142,51,14,65,207
2019-06-11,PAE,49,6,195,1,251,257,0,257,508
2019-06-11,SEA,1357,21,11,0,1389,0,0,0,1389
2019-06-12,MWH,25,54,67,30,176,75,54,129,305
2019-06-12,PAE,42,1,178,5,226,314,14,328,554
2019-06-12,SEA,1359,17,6,0,1382,0,0,0,1382
2019-06-13,MWH,20,25,38,10,93,28,22,50,143
2019-06-13,PAE,44,4,204,0,252,220,0,220,472
2019-06-13,SEA,1361,17,9,0,1387,0,0,0,1387
2019-06-14,MWH,3,4,31,5,43,6,4,10,53
2019-06-14,PAE,46,3,207,4,260,172,0,172,432
2019-06-14,SEA,1380,13,6,1,1400,0,0,0,1400
2019-06-15,MWH,4,2,39,3,48,8,0,8,56
2019-06-15,PAE,43,2,205,0,250,116,0,116,366
2019-06-15,SEA,1278,12,4,1,1295,0,0,0,1295
2019-06-16,MWH,4,0,39,2,45,23,0,23,68
2019-06-16,PAE,41,0,240,0,281,221,0,221,502
2019-06-16,SEA,1316,5,8,0,1329,0,0,0,1329
2019-06-17,MWH,20,4,21,16,61,0,24,24,85
2019-06-17,PAE,40,2,166,4,212,303,14,317,529
2019-06-17,SEA,1360,15,17,0,1392,0,0,0,1392
2019-06-18,MWH,24,12,37,28,101,8,8,16,117
2019-06-18,PAE,46,8,88,4,146,117,0,117,263
2019-06-18,SEA,1359,15,6,0,1380,0,0,0,1380
2019-06-19,MWH,45,5,13,24,87,2,16,18,105
2019-06-19,PAE,54,2,184,6,246,206,8,214,460
2019-06-19,SEA,1367,17,10,0,1394,0,0,0,1394
2019-06-20,MWH,20,10,33,9,72,18,2,20,92
2019-06-20,PAE,52,4,171,0,227,319,0,319,546
2019-06-20,SEA,1355,15,7,0,1377,0,0,0,1377
2019-06-21,MWH,51,3,45,22,121,8,27,35,156
2019-06-21,PAE,59,5,261,2,327,242,0,242,569
2019-06-21,SEA,1361,14,12,0,1387,0,0,0,1387
2019-06-22,MWH,4,0,34,10,48,26,33,59,107
2019-06-22,PAE,42,4,153,4,203,134,45,179,382
2019-06-22,SEA,1283,9,7,0,1299,0,0,0,1299
2019-06-23,MWH,4,4,16,5,29,14,6,20,49
2019-06-23,PAE,42,6,127,0,175,33,0,33,208
2019-06-23,SEA,1320,4,11,1,1336,0,0,0,1336
2019-06-24,MWH,27,146,39,26,238,397,29,426,664
2019-06-24,PAE,49,11,180,1,241,228,4,232,473
2019-06-24,SEA,1359,19,5,0,1383,0,0,0,1383
2019-06-25,MWH,18,167,28,14,227,320,14,334,561
2019-06-25,PAE,58,5,263,0,326,293,2,295,621
2019-06-25,SEA,1369,18,11,0,1398,0,0,0,1398
2019-06-26,MWH,3,141,36,21,201,336,46,382,583
2019-06-26,PAE,46,5,168,0,219,262,0,262,481
2019-06-26,SEA,1375,13,9,0,1397,0,0,0,1397
2019-06-27,MWH,12,84,32,24,152,413,4,417,569
2019-06-27,PAE,41,15,153,0,209,140,0,140,349
2019-06-27,SEA,1377,17,5,0,1399,0,0,0,1399
2019-06-28,MWH,16,126,26,11,179,411,14,425,604
2019-06-28,PAE,44,3,234,3,284,192,0,192,476
2019-06-28,SEA,1380,13,11,0,1404,0,0,0,1404
2019-06-29,MWH,2,2,14,0,18,14,0,14,32
2019-06-29,PAE,40,0,267,0,307,237,0,237,544
2019-06-29,SEA,1280,6,12,0,1298,0,0,0,1298
2019-06-30,MWH,0,1,20,0,21,4,0,4,25
2019-06-30,PAE,41,1,279,1,322,170,0,170,492
2019-06-30,SEA,1323,10,16,0,1349,0,0,0,1349
2019-07-01,MWH,27,126,37,37,227,230,92,322,549
2019-07-01,PAE,54,9,193,0,256,130,3,133,389
2019-07-01,SEA,1372,13,14,0,1399,0,0,0,1399
2019-07-02,MWH,20,114,27,53,214,186,44,230,444
2019-07-02,PAE,46,4,80,0,130,4,0,4,134
2019-07-02,SEA,1365,12,7,0,1384,0,0,0,1384
2019-07-03,MWH,1,160,32,19,212,404,32,436,648
2019-07-03,PAE,41,4,147,0,192,96,0,96,288
2019-07-03,SEA,1373,13,9,0,1395,0,0,0,1395
2019-07-04,MWH,9,0,7,0,16,0,0,0,16
2019-07-04,PAE,38,6,136,0,180,109,0,109,289
2019-07-04,SEA,1183,4,5,0,1192,0,0,0,1192
2019-07-05,MWH,15,131,53,2,201,199,0,199,400
2019-07-05,PAE,61,1,165,0,227,188,0,188,415
2019-07-05,SEA,1252,19,9,0,1280,0,0,0,1280
2019-07-06,MWH,3,1,15,0,19,0,0,0,19
2019-07-06,PAE,43,0,227,1,271,150,0,150,421
2019-07-06,SEA,1266,11,11,0,1288,0,0,0,1288
2019-07-07,MWH,0,0,23,0,23,0,0,0,23
2019-07-07,PAE,41,1,191,0,233,188,1,189,422
2019-07-07,SEA,1347,6,16,0,1369,0,0,0,1369
2019-07-08,MWH,3,154,31,9,197,437,12,449,646
2019-07-08,PAE,42,3,182,4,231,202,0,202,433
2019-07-08,SEA,1373,17,4,1,1395,0,0,0,1395
2019-07-09,MWH,5,175,48,24,252,406,12,418,670
2019-07-09,PAE,40,0,216,2,258,267,0,267,525
2019-07-09,SEA,1377,17,12,2,1408,0,0,0,1408
2019-07-10,MWH,24,176,54,34,288,474,7,481,769
2019-07-10,PAE,47,2,82,6,137,27,0,27,164
2019-07-10,SEA,1371,20,3,0,1394,0,0,0,1394
2019-07-11,MWH,19,129,71,18,237,360,50,410,647
2019-07-11,PAE,51,3,208,2,264,242,0,242,506
2019-07-11,SEA,1367,18,11,0,1396,0,0,0,1396
2019-07-12,MWH,12,138,29,12,191,326,52,378,569
2019-07-12,PAE,43,6,266,2,317,273,0,273,590
2019-07-12,SEA,1392,16,11,2,1421,0,0,0,1421
2019-07-13,MWH,3,2,34,2,41,6,35,41,82
2019-07-13,PAE,42,0,325,0,367,262,0,262,629
2019-07-13,SEA,1309,10,9,0,1328,0,0,0,1328
2019-07-14,MWH,0,24,35,0,59,67,0,67,126
2019-07-14,PAE,42,1,242,0,285,168,0,168,453
2019-07-14,SEA,1342,16,12,0,1370,0,0,0,1370
2019-07-15,MWH,7,119,35,8,169,378,37,415,584
2019-07-15,PAE,47,7,173,0,227,193,0,193,420
2019-07-15,SEA,1381,18,13,0,1412,0,0,0,1412
2019-07-16,MWH,13,123,34,13,183,277,20,297,480
2019-07-16,PAE,47,3,215,0,265,252,0,252,517
2019-07-16,SEA,1371,15,15,1,1402,0,0,0,1402
2019-07-17,MWH,11,102,32,9,154,366,14,380,534
2019-07-17,PAE,42,5,51,0,98,15,0,15,113
2019-07-17,SEA,1384,19,4,0,1407,0,0,0,1407
2019-07-18,MWH,40,92,26,33,191,78,30,108,299
2019-07-18,PAE,49,5,169,2,225,211,0,211,436
2019-07-18,SEA,1378,19,10,0,1407,0,0,0,1407
2019-07-19,MWH,4,144,43,4,195,284,4,288,483
2019-07-19,PAE,46,1,236,2,285,194,0,194,479
2019-07-19,SEA,1395,17,12,0,1424,0,0,0,1424
2019-07-20,MWH,4,35,23,0,62,26,0,26,88
2019-07-20,PAE,44,6,285,0,335,277,0,277,612
2019-07-20,SEA,1308,10,5,0,1323,0,0,0,1323
2019-07-21,MWH,2,0,31,0,33,30,0,30,63
2019-07-21,PAE,44,2,275,0,321,149,0,149,470
2019-07-21,SEA,1353,8,4,0,1365,0,0,0,1365
2019-07-22,MWH,23,98,26,21,168,258,24,282,450
2019-07-22,PAE,54,4,228,0,286,224,0,224,510
2019-07-22,SEA,1385,25,9,0,1419,0,0,0,1419
2019-07-23,MWH,4,128,27,21,180,264,13,277,457
2019-07-23,PAE,46,5,124,0,175,287,0,287,462
2019-07-23,SEA,1376,19,4,0,1399,0,0,0,1399
2019-07-24,MWH,64,109,55,31,259,216,32,248,507
2019-07-24,PAE,42,1,244,0,287,309,0,309,596
2019-07-24,SEA,1397,19,7,2,1425,0,0,0,1425
2019-07-25,MWH,67,149,45,28,289,246,19,265,554
2019-07-25,PAE,42,4,219,0,265,248,0,248,513
2019-07-25,SEA,1388,21,17,2,1428,0,0,0,1428
2019-07-26,MWH,31,131,43,23,228,254,12,266,494
2019-07-26,PAE,46,7,263,0,316,131,0,131,447
2019-07-26,SEA,1392,14,7,0,1413,0,0,0,1413
2019-07-27,MWH,19,11,14,3,47,0,19,19,66
2019-07-27,PAE,40,1,135,0,176,219,0,219,395
2019-07-27,SEA,1335,12,7,0,1354,0,0,0,1354
2019-07-28,MWH,0,3,33,1,37,64,0,64,101
2019-07-28,PAE,46,2,487,0,535,57,0,57,592
2019-07-28,SEA,1351,6,8,0,1365,0,0,0,1365
2019-07-29,MWH,4,121,37,26,188,189,42,231,419
2019-07-29,PAE,43,3,225,3,274,141,11,152,426
2019-07-29,SEA,1369,14,3,0,1386,0,0,0,1386
2019-07-30,MWH,22,98,45,31,196,182,40,222,418
2019-07-30,PAE,44,8,237,0,289,296,0,296,585
2019-07-30,SEA,1359,17,14,0,1390,0,0,0,1390
2019-07-31,MWH,28,93,58,31,210,127,39,166,376
2019-07-31,PAE,40,5,249,5,299,249,0,249,548
2019-07-31,SEA,1400,12,13,0,1425,0,0,0,1425
2019-08-01,MWH,21,69,40,73,203,144,87,231,434
2019-08-01,PAE,45,4,203,0,252,150,0,150,402
2019-08-01,SEA,1391,29,19,0,1439,0,0,0,1439
2019-08-02,MWH,21,59,48,17,145,82,44,126,271
2019-08-02,PAE,51,8,164,0,223,186,0,186,409
2019-08-02,SEA,1389,18,12,0,1419,0,0,0,1419
2019-08-03,MWH,30,37,40,3,110,44,2,46,156
2019-08-03,PAE,49,1,311,0,361,297,0,297,658
2019-08-03,SEA,1353,7,7,0,1367,0,0,0,1367
2019-08-04,MWH,17,10,24,1,52,30,0,30,82
2019-08-04,PAE,43,3,253,0,299,230,0,230,529
2019-08-04,SEA,1370,10,2,0,1382,0,0,0,1382
2019-08-05,MWH,19,10,33,23,85,36,56,92,177
2019-08-05,PAE,46,5,224,11,286,321,6,327,613
2019-08-05,SEA,1395,20,4,1,1420,0,0,0,1420
2019-08-06,MWH,16,9,45,42,112,28,51,79,191
2019-08-06,PAE,48,1,212,0,261,230,0,230,491
2019-08-06,SEA,1418,15,4,0,1437,0,0,0,1437
2019-08-07,MWH,19,18,45,60,142,49,102,151,293
2019-08-07,PAE,48,5,204,1,258,253,0,253,511
2019-08-07,SEA,1395,20,8,0,1423,0,0,0,1423
2019-08-08,MWH,17,6,29,40,92,24,76,100,192
2019-08-08,PAE,47,7,152,0,206,254,0,254,460
2019-08-08,SEA,1386,16,6,0,1408,0,0,0,1408
2019-08-09,MWH,21,5,30,24,80,16,70,86,166
2019-08-09,PAE,47,7,182,0,236,326,0,326,562
2019-08-09,SEA,1430,16,7,0,1453,0,0,0,1453
2019-08-10,MWH,4,1,10,0,15,30,0,30,45
2019-08-10,PAE,42,6,112,0,160,66,0,66,226
2019-08-10,SEA,1331,13,5,0,1349,0,0,0,1349
2019-08-11,MWH,9,1,11,1,22,0,0,0,22
2019-08-11,PAE,38,7,232,0,277,144,0,144,421
2019-08-11,SEA,1368,16,11,0,1395,0,0,0,1395
2019-08-12,MWH,22,18,37,40,117,0,54,54,171
2019-08-12,PAE,43,5,213,0,261,191,0,191,452
2019-08-12,SEA,1384,20,7,0,1411,0,0,0,1411
2019-08-13,MWH,10,9,61,20,100,16,36,52,152
2019-08-13,PAE,46,3,235,2,286,323,0,323,609
2019-08-13,SEA,1388,21,12,0,1421,0,0,0,1421
2019-08-14,MWH,31,6,47,11,95,22,8,30,125
2019-08-14,PAE,46,4,243,0,293,268,0,268,561
2019-08-14,SEA,1395,16,11,0,1422,0,0,0,1422
2019-08-15,MWH,12,5,60,71,148,44,74,118,266
2019-08-15,PAE,50,2,280,0,332,311,0,311,643
2019-08-15,SEA,1389,24,7,0,1420,0,0,0,1420
2019-08-16,MWH,25,6,52,11,94,42,26,68,162
2019-08-16,PAE,55,3,211,0,269,169,0,169,438
2019-08-16,SEA,1396,19,10,0,1425,0,0,0,1425
2019-08-17,MWH,1,0,22,0,23,0,0,0,23
2019-08-17,PAE,41,6,199,0,246,243,0,243,489
2019-08-17,SEA,1324,14,7,0,1345,0,0,0,1345
2019-08-18,MWH,15,0,28,0,43,38,0,38,81
2019-08-18,PAE,52,0,219,0,271,85,0,85,356
2019-08-18,SEA,1358,7,8,0,1373,0,0,0,1373
2019-08-19,MWH,5,6,29,12,52,6,30,36,88
2019-08-19,PAE,40,7,198,0,245,386,0,386,631
2019-08-19,SEA,1392,22,11,0,1425,0,0,0,1425
2019-08-20,MWH,9,13,58,27,107,24,57,81,188
2019-08-20,PAE,45,5,275,6,331,370,10,380,711
2019-08-20,SEA,1363,25,11,0,1399,0,0,0,1399
2019-08-21,MWH,1,7,43,34,85,2,70,72,157
2019-08-21,PAE,47,1,71,8,127,33,0,33,160
2019-08-21,SEA,1397,17,4,1,1419,0,0,0,1419
2019-08-22,MWH,4,4,48,54,110,36,66,102,212
2019-08-22,PAE,42,8,231,0,281,340,0,340,621
2019-08-22,SEA,1391,20,3,2,1416,0,0,0,1416
2019-08-23,MWH,25,6,31,6,68,14,10,24,92
2019-08-23,PAE,55,3,227,0,285,282,0,282,567
2019-08-23,SEA,1414,14,8,0,1436,0,0,0,1436
2019-08-24,MWH,4,0,35,0,39,16,0,16,55
2019-08-24,PAE,48,1,257,0,306,249,0,249,555
2019-08-24,SEA,1299,12,5,2,1318,0,0,0,1318
2019-08-25,MWH,11,1,32,0,44,32,0,32,76
2019-08-25,PAE,49,7,261,0,317,171,0,171,488
2019-08-25,SEA,1365,7,9,0,1381,0,0,0,1381
2019-08-26,MWH,5,8,28,27,68,12,56,68,136
2019-08-26,PAE,47,9,250,0,306,211,0,211,517
2019-08-26,SEA,1384,14,7,0,1405,0,0,0,1405
2019-08-27,MWH,18,11,35,11,75,29,27,56,131
2019-08-27,PAE,53,3,203,0,259,288,0,288,547
2019-08-27,SEA,1337,15,6,0,1358,0,0,0,1358
2019-08-28,MWH,6,16,56,18,96,0,38,38,134
2019-08-28,PAE,48,5,235,0,288,338,0,338,626
2019-08-28,SEA,1350,13,9,0,1372,0,0,0,1372
2019-08-29,MWH,14,7,34,26,81,29,70,99,180
2019-08-29,PAE,55,4,204,0,263,288,0,288,551
2019-08-29,SEA,1365,15,4,0,1384,0,0,0,1384
2019-08-30,MWH,1,16,45,0,62,37,0,37,99
2019-08-30,PAE,45,3,190,0,238,259,0,259,497
2019-08-30,SEA,1367,12,8,0,1387,0,0,0,1387
2019-08-31,MWH,0,1,20,5,26,0,0,0,26
2019-08-31,PAE,46,1,239,0,286,206,0,206,492
2019-08-31,SEA,1202,15,4,0,1221,0,0,0,1221
2019-09-01,MWH,0,1,13,2,16,0,0,0,16
2019-09-01,PAE,46,3,219,0,268,115,0,115,383
2019-09-01,SEA,1217,4,3,0,1224,0,0,0,1224
2019-09-02,MWH,10,5,22,0,37,10,0,10,47
2019-09-02,PAE,45,2,226,0,273,144,0,144,417
2019-09-02,SEA,1305,2,5,0,1312,0,0,0,1312
2019-09-03,MWH,13,24,44,59,140,0,52,52,192
2019-09-03,PAE,46,3,182,2,233,252,0,252,485
2019-09-03,SEA,1284,12,11,0,1307,0,0,0,1307
2019-09-04,MWH,19,23,20,37,99,28,64,92,191
2019-09-04,PAE,42,3,183,0,228,275,0,275,503
2019-09-04,SEA,1285,16,6,0,1307,0,0,0,1307
2019-09-05,MWH,23,10,41,39,113,4,42,46,159
2019-09-05,PAE,47,4,221,0,272,288,2,290,562
2019-09-05,SEA,1273,14,8,0,1295,0,0,0,1295
2019-09-06,MWH,11,4,15,18,48,0,24,24,72
2019-09-06,PAE,48,5,245,0,298,230,0,230,528
2019-09-06,SEA,1300,17,10,1,1328,0,0,0,1328
2019-09-07,MWH,4,1,32,9,46,20,0,20,66
2019-09-07,PAE,39,4,90,0,133,27,0,27,160
2019-09-07,SEA,1100,4,9,0,1113,0,0,0,1113
2019-09-08,MWH,4,10,23,11,48,22,2,24,72
2019-09-08,PAE,36,2,82,0,120,2,0,2,122
2019-09-08,SEA,1259,6,4,1,1270,0,0,0,1270
2019-09-09,MWH,11,1,24,45,81,16,48,64,145
2019-09-09,PAE,42,5,47,0,94,2,0,2,96
2019-09-09,SEA,1295,14,9,0,1318,0,0,0,1318
2019-09-10,MWH,13,7,20,51,91,40,96,136,227
2019-09-10,PAE,43,3,118,0,164,265,0,265,429
2019-09-10,SEA,1247,25,9,0,1281,0,0,0,1281
2019-09-11,MWH,0,5,33,42,80,18,66,84,164
2019-09-11,PAE,42,1,180,0,223,302,0,302,525
2019-09-11,SEA,1270,21,10,0,1301,0,0,0,1301
2019-09-12,MWH,38,8,57,24,127,20,22,42,169
2019-09-12,PAE,47,2,195,2,246,190,4,194,440
2019-09-12,SEA,1298,22,6,0,1326,0,0,0,1326
2019-09-13,MWH,5,14,28,14,61,68,12,80,141
2019-09-13,PAE,44,2,108,1,155,266,2,268,423
2019-09-13,SEA,1321,14,5,1,1341,0,0,0,1341
2019-09-14,MWH,6,0,22,11,39,1,0,1,40
2019-09-14,PAE,45,2,147,0,194,132,0,132,326
2019-09-14,SEA,1136,5,2,0,1143,0,0,0,1143
2019-09-15,MWH,12,3,9,2,26,0,0,0,26
2019-09-15,PAE,44,1,38,1,84,0,0,0,84
2019-09-15,SEA,1231,3,2,4,1240,0,0,0,1240
2019-09-16,MWH,19,5,26,73,123,7,28,35,158
2019-09-16,PAE,45,4,123,0,172,316,0,316,488
2019-09-16,SEA,1297,17,16,0,1330,0,0,0,1330
2019-09-17,MWH,15,59,34,40,148,66,56,122,270
2019-09-17,PAE,49,1,40,0,90,43,0,43,133
2019-09-17,SEA,1252,17,6,0,1275,0,0,0,1275
2019-09-18,MWH,22,54,34,65,175,58,115,173,348
2019-09-18,PAE,46,1,166,12,225,510,35,545,770
2019-09-18,SEA,1260,15,10,0,1285,0,0,0,1285
2019-09-19,MWH,15,55,45,27,142,118,28,146,288
2019-09-19,PAE,41,3,255,0,299,371,0,371,670
2019-09-19,SEA,1284,20,8,1,1313,0,0,0,1313
2019-09-20,MWH,9,12,46,36,103,22,62,84,187
2019-09-20,PAE,42,7,200,0,249,254,0,254,503
2019-09-20,SEA,1285,14,9,1,1309,0,0,0,1309
2019-09-21,MWH,20,0,12,4,36,12,0,12,48
2019-09-21,PAE,47,3,236,2,288,106,0,106,394
2019-09-21,SEA,1130,6,7,0,1143,0,0,0,1143
2019-09-22,MWH,13,0,24,20,57,0,4,4,61
2019-09-22,PAE,43,3,51,0,97,15,0,15,112
2019-09-22,SEA,1245,4,1,1,1251,0,0,0,1251
2019-09-23,MWH,26,85,41,48,200,124,88,212,412
2019-09-23,PAE,43,0,84,0,127,107,0,107,234
2019-09-23,SEA,1269,17,6,0,1292,0,0,0,1292
2019-09-24,MWH,31,33,63,18,145,40,51,91,236
2019-09-24,PAE,53,4,138,0,195,347,0,347,542
2019-09-24,SEA,1248,12,4,3,1267,0,0,0,1267
2019-09-25,MWH,15,123,46,24,208,236,48,284,492
2019-09-25,PAE,46,10,294,0,350,403,12,415,765
2019-09-25,SEA,1249,14,6,0,1269,0,0,0,1269
2019-09-26,MWH,20,108,30,49,207,253,68,321,528
2019-09-26,PAE,51,5,90,0,146,200,0,200,346
2019-09-26,SEA,1285,14,7,1,1307,0,0,0,1307
2019-09-27,MWH,3,30,26,25,84,18,24,42,126
2019-09-27,PAE,41,6,80,0,127,85,0,85,212
2019-09-27,SEA,1285,15,4,0,1304,0,0,0,1304
2019-09-28,MWH,6,0,10,0,16,0,0,0,16
2019-09-28,PAE,42,4,221,0,267,199,10,209,476
2019-09-28,SEA,1123,4,2,0,1129,0,0,0,1129
2019-09-29,MWH,7,0,9,0,16,0,0,0,16
2019-09-29,PAE,53,3,193,2,251,236,2,238,489
2019-09-29,SEA,1236,6,2,0,1244,0,0,0,1244
2019-09-30,MWH,22,131,14,15,182,280,18,298,480
2019-09-30,PAE,43,7,216,0,266,320,0,320,586
2019-09-30,SEA,1280,11,7,0,1298,0,0,0,1298
2019-10-01,MWH,14,120,40,23,197,315,32,347,544
2019-10-01,PAE,50,0,294,2,346,286,0,286,632
2019-10-01,SEA,1238,12,7,0,1257,0,0,0,1257
2019-10-02,MWH,17,128,55,33,233,410,60,470,703
2019-10-02,PAE,42,5,196,0,243,270,0,270,513
2019-10-02,SEA,1233,13,5,0,1251,0,0,0,1251
2019-10-03,MWH,19,109,26,32,186,361,41,402,588
2019-10-03,PAE,45,4,84,2,135,56,0,56,191
2019-10-03,SEA,1270,14,4,0,1288,0,0,0,1288
2019-10-04,MWH,13,21,39,15,88,4,60,64,152
2019-10-04,PAE,42,3,103,0,148,117,0,117,265
2019-10-04,SEA,1286,13,7,0,1306,0,0,0,1306
2019-10-05,MWH,5,0,34,2,41,38,18,56,97
2019-10-05,PAE,40,3,148,0,191,125,0,125,316
2019-10-05,SEA,1113,7,2,0,1122,0,0,0,1122
2019-10-06,MWH,11,7,27,0,45,26,0,26,71
2019-10-06,PAE,43,5,243,0,291,261,0,261,552
2019-10-06,SEA,1238,3,10,0,1251,0,0,0,1251
2019-10-07,MWH,26,131,58,76,291,343,92,435,726
2019-10-07,PAE,40,3,36,0,79,9,0,9,88
2019-10-07,SEA,1277,13,2,0,1292,0,0,0,1292
2019-10-08,MWH,35,84,26,11,156,73,6,79,235
2019-10-08,PAE,49,1,48,0,98,125,0,125,223
2019-10-08,SEA,1240,12,5,1,1258,0,0,0,1258
2019-10-09,MWH,14,124,29,23,190,298,4,302,492
2019-10-09,PAE,44,6,239,0,289,212,0,212,501
2019-10-09,SEA,1244,13,11,2,1270,0,0,0,1270
2019-10-10,MWH,23,102,69,11,205,453,42,495,700
2019-10-10,PAE,45,9,243,0,297,262,0,262,559
2019-10-10,SEA,1292,17,7,0,1316,0,0,0,1316
2019-10-11,MWH,11,15,72,0,98,10,0,10,108
2019-10-11,PAE,47,7,260,0,314,255,0,255,569
2019-10-11,SEA,1281,13,1,0,1295,0,0,0,1295
2019-10-12,MWH,20,0,25,0,45,10,0,10,55
2019-10-12,PAE,48,2,210,0,260,199,0,199,459
2019-10-12,SEA,1106,5,2,0,1113,0,0,0,1113
2019-10-13,MWH,6,0,25,0,31,0,0,0,31
2019-10-13,PAE,44,1,141,0,186,87,0,87,273
2019-10-13,SEA,1220,4,1,0,1225,0,0,0,1225
2019-10-14,MWH,19,153,36,0,208,437,0,437,645
2019-10-14,PAE,47,4,185,0,236,133,0,133,369
2019-10-14,SEA,1273,16,4,0,1293,0,0,0,1293
2019-10-15,MWH,9,130,20,55,214,369,91,460,674
2019-10-15,PAE,43,5,174,2,224,192,0,192,416
2019-10-15,SEA,1246,13,1,1,1261,0,0,0,1261
2019-10-16,MWH,12,93,40,23,168,298,30,328,496
2019-10-16,PAE,52,6,50,5,113,55,22,77,190
2019-10-16,SEA,1245,12,4,0,1261,0,0,0,1261
2019-10-17,MWH,10,101,28,7,146,184,4,188,334
2019-10-17,PAE,53,4,34,0,91,4,0,4,95
2019-10-17,SEA,1271,11,3,0,1285,0,0,0,1285
2019-10-18,MWH,3,10,51,4,68,11,0,11,79
2019-10-18,PAE,50,1,71,0,122,101,0,101,223
2019-10-18,SEA,1293,13,2,0,1308,0,0,0,1308
2019-10-19,MWH,6,1,5,1,13,0,0,0,13
2019-10-19,PAE,43,1,37,0,81,9,0,9,90
2019-10-19,SEA,1104,5,4,0,1113,0,0,0,1113
2019-10-20,MWH,4,3,27,0,34,30,0,30,64
2019-10-20,PAE,41,0,59,0,100,57,0,57,157
2019-10-20,SEA,1207,1,5,0,1213,0,0,0,1213
2019-10-21,MWH,15,99,14,18,146,366,28,394,540
2019-10-21,PAE,49,2,28,3,82,0,0,0,82
2019-10-21,SEA,1266,12,5,0,1283,0,0,0,1283
2019-10-22,MWH,13,67,9,0,89,164,1,165,254
2019-10-22,PAE,52,12,94,0,158,243,0,243,401
2019-10-22,SEA,1247,14,6,0,1267,0,0,0,1267
2019-10-23,MWH,4,110,35,7,156,374,0,374,530
2019-10-23,PAE,43,3,213,0,259,386,1,387,646
2019-10-23,SEA,1241,13,2,0,1256,0,0,0,1256
2019-10-24,MWH,13,103,44,8,168,308,2,310,478
2019-10-24,PAE,48,4,254,0,306,454,0,454,760
2019-10-24,SEA,1265,14,8,0,1287,0,0,0,1287
2019-10-25,MWH,7,12,28,14,61,10,14,24,85
2019-10-25,PAE,51,3,77,6,137,127,0,127,264
2019-10-25,SEA,1254,10,5,0,1269,0,0,0,1269
2019-10-26,MWH,4,1,16,0,21,4,0,4,25
2019-10-26,PAE,45,2,186,0,233,157,0,157,390
2019-10-26,SEA,1117,4,3,0,1124,0,0,0,1124
2019-10-27,MWH,0,0,24,0,24,37,0,37,61
2019-10-27,PAE,46,2,336,0,384,244,0,244,628
2019-10-27,SEA,1164,9,3,0,1176,0,0,0,1176
2019-10-28,MWH,7,84,11,9,111,208,6,214,325
2019-10-28,PAE,43,3,185,2,233,283,0,283,516
2019-10-28,SEA,1206,12,4,0,1222,0,0,0,1222
2019-10-29,MWH,10,102,23,8,143,315,9,324,467
2019-10-29,PAE,47,3,212,0,262,292,0,292,554
2019-10-29,SEA,1188,14,5,0,1207,0,0,0,1207
2019-10-30,MWH,21,86,24,8,139,478,2,480,619
2019-10-30,PAE,44,5,225,0,274,342,0,342,616
2019-10-30,SEA,1184,16,4,0,1204,0,0,0,1204
2019-10-31,MWH,22,106,45,10,183,484,8,492,675
2019-10-31,PAE,36,9,167,0,212,283,0,283,495
2019-10-31,SEA,1050,11,11,0,1072,0,0,0,1072
2019-11-01,MWH,11,4,48,4,67,32,2,34,101
2019-11-01,PAE,47,8,227,0,282,261,0,261,543
2019-11-01,SEA,1203,11,6,0,1220,0,0,0,1220
2019-11-02,MWH,4,0,31,3,38,4,2,6,44
2019-11-02,PAE,40,0,298,0,338,261,0,261,599
2019-11-02,SEA,1066,4,3,0,1073,0,0,0,1073
2019-11-03,MWH,13,0,38,7,58,18,2,20,78
2019-11-03,PAE,43,0,199,0,242,247,0,247,489
2019-11-03,SEA,1169,6,4,0,1179,0,0,0,1179
